workoutSummaryId,date,calories,distance,duration,top_speed,average speed
1,7/20/2022,405,71,3.5,17,18
2,3/16/2021,1173,31,9.5,23,13
3,5/13/2021,647,16,3.8,25,11
4,9/23/2021,697,35,10,19,13
5,10/11/2021,248,7,7.1,20,18
6,11/6/2021,1172,84,2.7,23,16
7,12/31/2021,1287,95,4,22,20
8,1/27/2021,961,89,9.5,17,17
9,5/19/2022,780,36,3.8,24,12
10,1/13/2022,60,78,7.2,20,14
11,4/28/2022,505,66,1.4,17,12
12,4/1/2021,587,59,2.6,22,10
13,7/13/2021,437,6,2,20,12
14,5/8/2022,1218,79,1,21,10
15,6/4/2022,1331,96,2.5,24,19
16,2/6/2021,315,86,3.4,23,15
17,7/6/2021,1335,11,3.9,25,17
18,1/26/2022,1428,13,2.3,19,17
19,7/4/2022,322,66,7.7,25,20
20,2/11/2021,1090,17,8.8,21,11
21,2/16/2022,1362,53,9.1,18,16
22,10/8/2021,1397,28,9.7,19,15
23,9/19/2021,691,15,1.5,17,10
24,9/20/2021,1236,70,4.1,22,14
25,4/1/2022,649,54,7.5,25,10
26,8/9/2021,1456,12,3.8,18,18
27,12/21/2021,1196,13,3.7,23,15
28,4/17/2022,733,95,5.7,20,19
29,1/20/2021,1324,39,2.2,25,17
30,9/30/2021,784,81,9.8,19,16
31,5/10/2021,1485,60,4.9,21,12
32,7/22/2021,335,24,7.6,19,18
33,11/14/2021,1086,30,1.9,17,16
34,2/17/2021,1497,22,4.4,25,20
35,8/6/2021,216,41,5.6,18,12
36,1/10/2021,131,81,4.3,20,10
37,8/20/2021,703,76,8.4,23,20
38,4/19/2022,1054,7,4.9,19,20
39,9/5/2021,1342,70,4.8,20,10
40,2/28/2021,1082,88,3.2,21,18
41,2/18/2022,1103,56,4.7,20,18
42,2/5/2022,1026,53,7.2,24,19
43,3/22/2022,1459,65,3.7,19,17
44,6/1/2021,861,89,10,23,11
45,4/27/2022,196,81,4.8,25,16
46,8/20/2021,1098,3,5.8,18,15
47,10/3/2021,667,49,9,17,10
48,2/27/2022,1491,17,1.1,23,19
49,6/23/2021,1377,89,5.6,24,11
50,11/5/2021,163,62,3.4,21,12
51,5/23/2021,240,70,4.3,23,19
52,10/6/2021,584,34,9.2,23,18
53,2/3/2021,1158,34,7,23,20
54,2/24/2021,862,44,6.6,23,19
55,1/8/2021,544,39,7.7,17,19
56,5/18/2022,528,96,9.3,18,19
57,4/10/2022,1004,19,1.7,18,16
58,4/9/2022,1480,32,1.3,25,17
59,3/21/2021,642,15,1.3,21,12
60,2/1/2021,1361,49,3.1,23,11
61,3/13/2022,1490,77,3,17,18
62,1/8/2021,993,94,6,23,18
63,3/1/2021,1164,42,8,17,14
64,6/10/2022,1108,55,8,22,18
65,9/6/2021,577,31,8.6,18,11
66,3/6/2022,827,53,4,23,15
67,6/10/2022,355,19,7.8,18,10
68,9/22/2021,355,81,3,22,13
69,3/12/2022,1182,68,2,18,16
70,8/22/2021,1380,62,5.4,20,13
71,4/6/2021,283,81,3.7,23,14
72,11/16/2021,630,92,3.1,19,14
73,8/7/2021,172,43,2.5,17,13
74,5/17/2022,717,65,1.2,19,13
75,4/27/2021,365,7,5,21,19
76,12/1/2021,1039,36,7.4,22,20
77,2/15/2022,1282,33,9.6,20,10
78,3/14/2022,544,67,4.1,24,11
79,3/8/2021,313,81,4.7,20,19
80,11/30/2021,79,92,3.8,19,20
81,7/19/2021,1340,46,7.5,19,18
82,5/27/2022,1339,15,6.5,25,13
83,12/21/2021,1366,39,7.4,23,14
84,6/1/2022,1184,12,7.6,24,17
85,6/15/2021,98,9,5.1,17,20
86,8/7/2021,509,45,7.1,25,14
87,4/17/2022,1139,1,8.3,19,10
88,7/4/2021,1401,39,2.3,20,13
89,2/25/2021,234,81,2.3,18,10
90,4/27/2021,1370,49,4.6,20,17
91,9/1/2021,368,31,4.9,23,20
92,8/21/2021,1248,68,4.2,22,19
93,5/27/2022,859,94,5.4,25,17
94,6/25/2022,1413,3,5.9,21,18
95,6/21/2022,1215,69,5.6,23,14
96,1/3/2021,272,48,3.9,23,13
97,5/5/2021,1103,21,5.3,19,15
98,5/10/2021,981,53,7.7,24,14
99,3/4/2022,413,14,1.8,17,12
100,5/31/2022,1132,22,1.4,22,12
